"Timestamp";"CPU cores";"CPU capacity provisioned [MHZ]";"CPU usage [MHZ]";"CPU usage [%]";"Memory capacity provisioned [KB]";"Memory usage [KB]";"Memory usage [%]";"Disk read throughput [KB/s]";"Disk write throughput [KB/s]";"Disk size [GB]";"Network received throughput [KB/s]";"Network transmitted throughput [KB/s]"
"05.11.2015 04:15:00";"2";"0";"81";"1,78";"8388608";"1190343";"14,19";"0";"7";"64";"6";"5"
"05.11.2015 04:20:00";"2";"0";"70";"1,54";"8388608";"1509111";"17,99";"0";"7";"64";"5";"5"
"05.11.2015 04:25:00";"2";"0";"70";"1,54";"8388608";"989017";"11,79";"0";"7";"64";"5";"5"
"05.11.2015 04:30:00";"2";"0";"69";"1,52";"8388608";"854799";"10,19";"0";"6";"64";"6";"5"
"05.11.2015 04:35:00";"2";"0";"71";"1,56";"8388608";"1022571";"12,19";"0";"8";"64";"5";"5"
"05.11.2015 04:40:00";"2";"0";"71";"1,56";"8388608";"821245";"9,79";"0";"6";"64";"5";"5"
"05.11.2015 04:45:00";"2";"0";"70";"1,52";"8388608";"989017";"11,79";"0";"7";"64";"6";"5"
"05.11.2015 04:50:00";"2";"0";"73";"1,59";"8388608";"921908";"10,99";"0";"6";"64";"5";"5"
"05.11.2015 04:55:00";"2";"0";"73";"1,59";"8388608";"854799";"10,19";"0";"7";"64";"5";"5"
"05.11.2015 05:00:00";"2";"0";"72";"1,57";"8388608";"989017";"11,79";"0";"9";"64";"6";"6"
"05.11.2015 05:05:00";"2";"0";"73";"1,61";"8388608";"854799";"10,19";"0";"9";"64";"5";"5"
"05.11.2015 05:10:00";"2";"0";"72";"1,59";"8388608";"921908";"10,99";"0";"7";"64";"5";"5"
"05.11.2015 05:15:00";"2";"0";"81";"1,78";"8388608";"848927";"10,12";"0";"7";"64";"6";"6"
"05.11.2015 05:20:00";"2";"0";"71";"1,56";"8388608";"1391670";"16,59";"0";"8";"64";"5";"5"
"05.11.2015 05:25:00";"2";"0";"72";"1,58";"8388608";"989017";"11,79";"0";"8";"64";"5";"5"
"05.11.2015 05:30:00";"2";"0";"69";"1,51";"8388608";"905131";"10,79";"0";"6";"64";"6";"5"
"05.11.2015 05:35:00";"2";"0";"73";"1,6";"8388608";"921908";"10,99";"0";"7";"64";"5";"5"
"05.11.2015 05:40:00";"2";"0";"71";"1,57";"8388608";"972240";"11,59";"0";"7";"64";"5";"5"
